flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
33602.772,8463.087,0.01,-48347.867,-114.713,0.01
29982.917,9828.719,9.5,-54252.026,-188.876,0.01
33060.666,6864.107,5.0,-47540.554,0.0,0.0
21428.555,4208.552,3.5,-56503.704,-951.547,0.01
13848.95,4613.227,5.51,-67133.739,0.0,0.0
22964.018,4904.32,0.01,-56373.309,-650.668,0.01
12091.383,7189.548,9.5,-70538.122,-386.0,0.01
6684.791,2886.861,9.5,-90398.965,0.0,0.0
18124.923,4800.747,0.01,-59993.853,-23.91,0.01
29761.983,3485.76,0.01,-48622.252,-2237.719,0.01
45718.374,2822.88,0.01,-41206.293,-9544.919,0.01
49080.863,2990.865,0.01,-37055.513,-10153.549,0.01
54829.565,4124.602,0.01,-32039.054,-8553.322,1.0
66173.837,2201.0,0.01,-23331.492,-5913.119,10.0
46246.827,1800.0,0.01,-29894.097,-1289.832,0.01
34088.755,5501.081,0.01,-44889.024,-390.468,0.01
18628.036,2325.947,20.0,-72697.968,-8464.924,0.01
25593.952,1787.207,0.01,-49410.653,-506.214,0.01
39194.366,1499.003,0.01,-42658.795,-3183.218,0.01
45628.659,764.98,0.01,-30456.892,-2215.146,0.01
32412.806,716.098,0.01,-43310.871,-2134.271,0.01
31719.703,532.912,0.01,-45277.034,-2692.529,0.01
37365.009,1572.306,0.01,-40620.071,0.0,0.0
40843.821,2070.575,0.01,-36603.446,-2637.976,0.01
68155.902,1186.574,0.01,-16276.789,-6308.817,2.0
70663.436,918.4,0.01,-8959.748,-3417.312,0.1
53453.775,0.0,0.0,-24795.166,-1855.344,0.01
13517.636,7144.901,14.5,-82925.267,-953.296,0.01
34315.198,3438.45,0.01,-49182.215,-6484.039,0.01
46648.924,2766.003,0.01,-43813.149,-14688.92,0.01
27275.424,4598.459,0.01,-60473.592,-7590.394,0.01
23367.875,6302.075,5.0,-58941.052,-436.629,0.01
44695.981,2129.441,0.01,-37062.529,-3942.845,0.01
26468.162,7627.238,2.0,-59136.262,-861.538,0.01
55748.815,69.4,0.01,-22178.468,-3583.902,1.0
43724.553,27.631,0.01,-33048.412,-3386.622,0.01
20413.742,4990.873,20.0,-72087.438,-54.848,0.01
24662.706,4891.644,0.01,-54987.343,-867.569,0.01
39914.234,505.142,0.01,-37750.197,-4479.144,0.01
44141.144,79.0,0.01,-37088.133,-8288.104,0.01
49165.241,712.409,0.01,-28571.613,-4083.358,0.01
44738.692,750.843,0.01,-34602.347,-5488.365,0.01
36318.714,1260.117,0.01,-40482.395,-2723.514,0.01
33129.062,2672.077,0.01,-43350.143,-793.493,0.01
46295.473,1338.545,0.01,-31039.087,-2380.334,0.01
54046.48,530.53,0.01,-23772.769,-4401.166,0.01
42055.552,1417.814,0.01,-35542.065,-3504.235,0.01
18443.226,4640.782,0.01,-56765.095,-85.692,0.01
18044.771,5966.679,0.01,-64360.683,-432.359,0.01
19332.446,4224.578,0.01,-60661.316,-709.313,0.01
22142.999,9688.914,10.0,-64437.352,-169.524,0.01
25612.908,6728.207,2.0,-55413.864,-731.423,0.01
